index,sample_count,fll_valid_count,input_hz,center_hz,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude
65,5540,66,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b4a5c,34793,71296,-1308,0,6,0,1,1,1,1,15570
66,5618,67,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b4c5b,35297,70644,-1308,0,6,0,1,1,1,1,15569
67,5696,68,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b4e53,35797,69988,-1308,0,6,0,1,1,1,1,15571
68,5774,69,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5047,36292,69332,-1312,0,6,0,1,1,1,1,15571
69,5852,70,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5236,36782,68680,-1308,0,6,0,1,1,1,1,15570
70,5930,71,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5420,37267,68024,-1308,0,6,0,1,1,1,1,15571
71,6008,72,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5605,37747,67372,-1308,0,6,0,1,1,1,1,15571
72,6086,73,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b57e5,38222,66716,-1308,0,6,0,1,1,1,1,15572
73,6164,74,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b59c0,38692,66060,-1312,0,6,0,1,1,1,1,15572
74,6242,75,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5b96,39157,65408,-1308,0,6,0,1,1,1,1,15571
75,6320,76,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5d67,39615,64752,-1308,0,6,0,1,1,1,1,15572
76,6398,77,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b5f31,40069,64096,-1312,0,6,0,1,1,1,1,15572
77,6476,78,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b60f7,40518,63444,-1308,0,6,0,1,1,1,1,15572
