name,type,start_time,duration,"data","error","ack","address","read"
"I2C","stop",3.1995105,6.24999998e-08,,,,,
"I2C","start",3.19951531,6.24999998e-08,,,,,
"I2C","address",3.19951788,2.325e-05,,,true,0x25,false
"I2C","data",3.19954413,2.3125e-05,0x00,,true,,
"I2C","start",3.19957263,6.24999998e-08,,,,,
"I2C","address",3.19957525,2.325e-05,,,true,0x25,true
"I2C","data",3.19960437,2.31875e-05,0xA5,,true,,
"I2C","data",3.19962906,2.325e-05,0x03,,false,,
"I2C","stop",3.19965525,6.24999998e-08,,,,,
"I2C","start",3.19966081,6.25000002e-08,,,,,
"I2C","address",3.19966344,2.325e-05,,,true,0x25,false
"I2C","data",3.19968975,2.3125e-05,0x40,,true,,
"I2C","start",3.19971812,6.24999998e-08,,,,,
"I2C","address",3.19972075,2.325e-05,,,true,0x25,true
"I2C","data",3.19974981,2.3125e-05,0x00,,false,,
"I2C","stop",3.19977594,6.24999998e-08,,,,,
"I2C","start",3.19978106,6.24999998e-08,,,,,
"I2C","address",3.19978369,2.325e-05,,,true,0x25,false
"I2C","data",3.19980988,2.31875e-05,0x00,,true,,
"I2C","start",3.19983844,6.24999998e-08,,,,,
"I2C","address",3.199841,2.325e-05,,,true,0x25,true
"I2C","data",3.19987006,2.31875e-05,0xA5,,true,,
"I2C","data",3.19989475,2.325e-05,0x03,,true,,
"I2C","data",3.19991944,2.33125e-05,0x00,,true,,
"I2C","data",3.19994419,2.325e-05,0x00,,true,,
"I2C","data",3.19996894,2.325e-05,0x28,,true,,
"I2C","data",3.19999369,2.325e-05,0xEF,,true,,
"I2C","data",3.20001837,2.325e-05,0x5B,,true,,
"I2C","data",3.20004313,2.325e-05,0x00,,true,,
"I2C","data",3.20006787,2.325e-05,0x03,,true,,
"I2C","data",3.20009256,2.33125e-05,0x00,,true,,
"I2C","data",3.20011731,2.325e-05,0x00,,true,,
"I2C","data",3.20014206,2.325e-05,0x00,,true,,
"I2C","data",3.20016681,2.325e-05,0x40,,true,,
"I2C","data",3.2001915,2.325e-05,0x0D,,true,,
"I2C","data",3.20021625,2.325e-05,0x03,,true,,
"I2C","data",3.200241,2.325e-05,0x00,,true,,
"I2C","data",3.20026575,2.325e-05,0x0A,,true,,
"I2C","data",3.20029044,2.325e-05,0x00,,true,,
"I2C","data",3.20031519,2.325e-05,0x01,,true,,
"I2C","data",3.20033994,2.325e-05,0x00,,true,,
"I2C","data",3.20036463,2.325e-05,0x80,,true,,
"I2C","data",3.20038937,2.325e-05,0x8D,,true,,
"I2C","data",3.20041412,2.325e-05,0x5B,,true,,
"I2C","data",3.20043888,2.325e-05,0x00,,true,,
"I2C","data",3.20046356,2.33125e-05,0x20,,true,,
"I2C","data",3.20048831,2.325e-05,0xBF,,true,,
"I2C","data",3.20051306,2.325e-05,0x02,,true,,
"I2C","data",3.20053781,2.325e-05,0x00,,true,,
"I2C","data",3.2005625,2.325e-05,0x00,,true,,
"I2C","data",3.20058725,2.325e-05,0x12,,true,,
"I2C","data",3.200612,2.325e-05,0x7A,,true,,
"I2C","data",3.20063675,2.325e-05,0x00,,true,,
"I2C","data",3.20066144,2.325e-05,0x60,,true,,
